﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
139;Rotkohl-Rouladen mit Ofengemüse;4;assets/images/recipes/rotkohl-rouladen_mit_ofengemuese.webp;2;Port.;0;0;0;;;;;
140;Quinoa-Soja-Kohl-Rouladen mit Ofengemüse;4;assets/images/recipes/quinoa-soja-kohl-rouladen_mit_ofengemuese.webp;2;Port.;0;0;0;;;;;
141;Hirse & Belugalinsen auf Kohl;4;assets/images/recipes/hirse_&_belugalinsen_auf_kohl.webp;1;Port.;0;0;0;;;;;
142;Rührtofu mit Spinat;4;assets/images/recipes/ruehrtofu_mit_spinat.webp;1;Port.;0;0;0;;;https://youtu.be/pf0LSijbI-U?si=gOgAB4QyxgNQkATg;;
143;Süßkartoffel-Brokkoli-Nudel-Auflauf;4;assets/images/recipes/suesskartoffel-brokkoli-nudel-auflauf.webp;1;Port.;0;0;0;;;;;
144;Artischoken-Pilz-Pfanne;4;assets/images/recipes/artischoken-pilz-pfanne.webp;1;Port.;0;0;0;;;;;
145;Pak-Choi-Tofu-Pfanne;4;assets/images/recipes/pak-choi-tofu-pfanne.webp;1;Port.;0;0;0;;;;;
146;Linsenbratlinge mit Grünkohl & Couscous;4;assets/images/recipes/linsenbratlinge_mit_gruenkohl_&_couscous.webp;1;Port.;0;0;0;;;;;
147;Bohnen-Patty mit Gemüse-Sticks;4;assets/images/recipes/bohnen-patty_mit_gemuese-sticks.webp;1;Port.;0;0;0;;;;;
148;rote Beete Burger mit Blumenkohl-Wings;4;assets/images/recipes/rote_beete_burger_mit_blumenkohl-wings.webp;1;Port.;0;0;0;;;;;
149;Quinoa-Blumenkohl-Milchreis;4;assets/images/recipes/quinoa-blumenkohl-milchreis.webp;2;Port.;0;0;0;;;;;
150;Zwiebelkuchen;4;assets/images/recipes/zwiebelkuchen.webp;1;Port.;0;0;0;;;;;
151;Blumenkohl-Zucchini-Lasagne;4;assets/images/recipes/blumenkohl-zucchini-lasagne.webp;1;Port.;0;0;0;;;;;
152;Pilze-Kohl-Zucchini-Lasagne;4;assets/images/recipes/pilze-kohl-zucchini-lasagne.webp;1;Port.;0;0;0;;;;;
153;cheesy Blumenkohl-Süßkartoffel-Auflauf;4;assets/images/recipes/cheesy_blumenkohl-suesskartoffel-auflauf.webp;1;Port.;0;0;0;;;;;
154;Linsen-Shepherd's-Pie;4;assets/images/recipes/linsen-shepherd's-pie.webp;1;Port.;0;0;0;;;;;
155;gebackener Blumenkohl mit Glasur;4;assets/images/recipes/gebackener_blumenkohl_mit_glasur.webp;1;Port.;0;0;0;;;;;
156;Cottage Pie;4;assets/images/recipes/cottage_pie.webp;1;Port.;0;0;0;;;;;
157;Mangold-Gemüse-Kuchen;4;assets/images/recipes/mangold-gemuese-kuchen.webp;1;Port.;0;0;0;;;;;
158;Gemüse-Torte;4;assets/images/recipes/gemuese-torte.webp;1;Port.;0;0;0;;;;;
159;gefüllte Zucchini mit Ofengemüse;4;assets/images/recipes/gefuellte_zucchini_mit_ofengemuese.webp;2;Port.;0;0;0;;;;;
